Club Name,White European Italian,Black African American,Native American,Asian,Hispanic,Native Hawaiian or Other Pacific Islander,woman women,man men,Greek,lgbtq,Christian,Islam,Jewish,Hindu,Buddhism,Muslim,Sikh,Description
AACF (Asian American Christian Fellowship),0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6848051990086592,0.6294327455718933,0.8875092689642123,0.6141543843641196,0.5715538688680779,0.6139235486244907,0.45985070732847866,"AACF (Asian American Christian Fellowship) The mission of AACF is to reach into the university and collegiate community with the life-changing message of Jesus Christ. We focus on loving God and loving others through community, Bible study, prayer, worship and more!"
Advertising Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.19822878652356102,0.23666736002814157,0.4953303518465402,0.3124034984620234,0.2717444814947187,0.20960453262186404,0.23755464462504033,Advertising Club The Cal Poly Advertising Club provides students with hands-on experience in the world of advertising by partnering with local businesses to create real-world campaigns. Members will boost their creativity through collaboration and passion in the club.
Agribusiness Management/National Agri-Marketing Association Club,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25187594243687433,0.5142762045388257,0.3892309311576224,0.44793581597047766,0.447056273112582,0.3230800476795502,0.2959876801660277,"Agribusiness Management/National Agri-Marketing Association Club The ABM/NAMA club is a great way for students to learn about and/or prepare for a future in the agribusiness industry. The club allows students to attend industry conventions, compete in marketing competitions, and network with agribusiness professionals"
Agricultural Communicators of Tomorrow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.33349416328821346,0.45061000841843535,0.3967700517882697,0.45274552262866113,0.37711703010413933,0.40114840183379885,0.30690862409227054,Agricultural Communicators of Tomorrow This club provides students the opportunity to become involved in the agricultural industry and be able to bridge the gap between the general public and those involved in agriculture.
Agricultural Engineering Society,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.11542967888491477,0.29473521029577543,0.28085932335447467,0.3158900905165496,0.07257542167636019,0.19144646902062043,0.09173694274881541,Agricultural Engineering Society Main goals of AES are to enhance the student experience associated in the BRAE department as well as other departments throughout campus.
Agricultural Leadership Society,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21367931535300216,0.39687774561127054,0.31847755649465626,0.3218255035986126,0.27045284573421113,0.3187354109533417,0.26376446218081917,"Agricultural Leadership Society Agricultural Leadership Society empowers all students to find leadership in agriculture through growing our connections on and off campus, discovering our strengths, and being fun and inclusive at our club events."
"American Society of Heating, Refrigerating and Air-Conditioning Engineers",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2087186557912977,0.28909740086853714,0.56752116940358,0.4447131134464246,0.28487222907994136,0.30396225169280655,0.30486251078038973,"American Society of Heating, Refrigerating and Air-Conditioning Engineers The Cal Poly Chapter of ASHRAE (American Society of Heating, Refrigerating and Air-Conditioning Engineers) helps students better understand the possibilities within the HVAC industry."
"Alpha Chi Sigma, Gamma Zeta Chapter",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2713587906237546,0.2988260268784765,0.5528898989222647,0.2823568567464998,0.2506044446447665,0.19977053311024928,0.15148314616694453,"Alpha Chi Sigma, Gamma Zeta Chapter Alpha Chi Sigma is a co-ed, professional chemistry fraternity committed to creating a positive environment where students and faculty interested in the chemical sciences can become involved in service and leadership."
alpha Kappa Delta Phi,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.23304261706045254,0.3896508787959468,0.7190337320194542,0.522455076274968,0.4885374565637839,0.2766803356959051,0.43198335090072215,"alpha Kappa Delta Phi alpha Kappa Delta Phi is the largest and only international Asian-Interest sorority with over 65 chapters across the U.S. & Canada. Our 5 pillars in which we strive towards are Sxsterhood, Scholarship, Leadership, Service, and Asian-Awareness."
Alpha Kappa Psi Professional Business Fraternity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.18089526225752267,0.33138845324480043,0.5161732533366633,0.3328499664497768,0.3743644024727316,0.15867627329459033,0.3179359861199114,Alpha Kappa Psi Professional Business Fraternity Alpha Kappa Psi is a Co-Ed Professional Business Fraternity opened to all majors.
Alpha Omega Epsilon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.23198094779528827,0.40259845445098685,0.6369652189283813,0.3337856105021485,0.18546015332311727,0.24907458238951885,0.21424273747201533,Alpha Omega Epsilon Alpha Omega Epsilon is a professional and social sorority composed of engineering and technical science students and alumni from across the globe.
"Alpha Phi Omega, Zeta Omicron Chapter",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.23993384559921305,0.3138862595190977,0.5821638397772645,0.2851775875937037,0.32585627794056865,0.10521579008293774,0.2285850172910386,"Alpha Phi Omega, Zeta Omicron Chapter We are a co-ed national service fraternity, so our main goal is to do community service. Other than service, we also have fellowship events, interchapter events, alumni events, and more."
