,tablescraper-selected-row href,New Club Name,New Description
0,https://now.calpoly.edu/organization/aacfclub, aacf ( asian american christian fellowship )," mission aacf reach university collegiate community life-changing message jesus christ . focus love god love other community , bible study , prayer , worship !"
1,https://now.calpoly.edu/organization/cpad, advertising club, cal poly advertising club provide student hands-on experience world advertising partner local business create real-world campaign . member boost creativity collaboration passion club .
2,https://now.calpoly.edu/organization/abm-nama, agribusiness management/national agri-marketing association club," abm/nama club great way student learn and/or prepare future agribusiness industry . club allows student attend industry convention , compete marketing competition , network agribusiness professional"
3,https://now.calpoly.edu/organization/agricultural-communicators-tomorrow, agricultural communicators of tomorrow, club provide student opportunity become involve agricultural industry able bridge gap general public involve agriculture .
4,https://now.calpoly.edu/organization/ag-eng-society, agricultural engineering society, main goal aes enhance student experience associate brae department well department throughout campus .
5,https://now.calpoly.edu/organization/agls, agricultural leadership society," agricultural leadership society empowers student find leadership agriculture grow connection campus , discover strength , fun inclusive club event ."
6,https://now.calpoly.edu/organization/ashrae," american society of heating , refrigerating and air-conditioning engineers"," cal poly chapter ashrae ( american society heating , refrigerate air-conditioning engineer ) help student well understand possibility within hvac industry ."
7,https://now.calpoly.edu/organization/axs," alpha chi sigma , gamma zeta chapter"," alpha chi sigma co-ed , professional chemistry fraternity commit create positive environment student faculty interested chemical science become involve service leadership ."
8,https://now.calpoly.edu/organization/akdphi, alpha kappa delta phi," alpha kappa delta phi large international asian-interest sorority chapter across u.s & canada . pillar strive towards sxsterhood , scholarship , leadership , service , asian-awareness ."
9,https://now.calpoly.edu/organization/akpsi, alpha kappa psi professional business fraternity, alpha kappa psi co-ed professional business fraternity open major .
10,https://now.calpoly.edu/organization/cpaoe, alpha omega epsilon, alpha omega epsilon professional social sorority compose engineering technical science student alumnus across globe .
11,https://now.calpoly.edu/organization/aphio," alpha phi omega , zeta omicron chapter"," co-ed national service fraternity , main goal community service . service , also fellowship event , interchapter event , alumnus event , ."
12,https://now.calpoly.edu/organization/apm, alpha pi mu at cal poly, national honor society industrial engineering student . recognize leader department give back community campus .
13,https://now.calpoly.edu/organization/asmu, alpha sigma mu, honor organization material engineering department .
14,https://now.calpoly.edu/organization/alpha-sigma-phi, alpha sigma phi iota chi ( ασφ ix )," purpose alpha sigma phi well man creation perpetuation brotherhood found upon value character : silence , charity , purity , honor , patriotism ."
15,https://now.calpoly.edu/organization/ata, alpha tau alpha, alpha tau alpha professional fraternity current future agriculture teacher .
16,https://now.calpoly.edu/organization/acs, american chemical society, american chemical society ( ac ) register cal poly slo chapter national organization name provide interested chemistry place foster friendship gain professional knowledge field .
17,https://now.calpoly.edu/organization/aisa, american indian students association, american indian student association ( aisa ) strives create inclusive environment welcome community anyone identifies 'indigenous ' want ally indigenous student cal poly 's campus .
18,https://now.calpoly.edu/organization/aiaa, american institute of aeronautics and astronautics, host speaker industry twice month share different opportunity within field lecture interest subject within aerospace industry .
19,https://now.calpoly.edu/organization/aias, american institute of architecture students," aias country 's large organization student architecture , provide best program , information resource available . aias student affiliate aia link professional architecture ."
20,https://now.calpoly.edu/organization/ama, american marketing association, american marketing association aim provide student interested field marketing sale tool tip need create successful career future .
21,https://now.calpoly.edu/organization/sloaslclub, american sign language club, group dedicate learn american sign language deaf culture .
22,https://now.calpoly.edu/organization/scasla," american society of landscape architecture , student chapter"," organization help student pursue landscape architecture learn field , build connection , engage educational professional event ."
23,https://now.calpoly.edu/organization/adl, analogue design lab," analogue design lab design produce product competition , design challenge , base student interest . 're seek make idea reality want learn engineering design , adl !"
24,https://now.calpoly.edu/organization/argentineculturalsocietycp, argentine cultural society at cal poly," organize host event mate gathering , asados ( barbecue cookout ) , alfajor-making workshop , provide authentic space member enjoy traditional argentine food custom together ."
